"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","EID"
"Shankar F.; Buchan S.; Rettura A.; Bouillot V.R.; Moreno J.; Licitra R.; Bernardi M.; Huertas-Company M.; Mei S.; Ascaso B.; Sheth R.; Delaye L.; Raichoor A.","Shankar, Francesco (55888485900); Buchan, Stewart (56443848300); Rettura, Alessandro (8974845600); Bouillot, Vincent R. (55696384200); Moreno, Jorge (55420477000); Licitra, Rossella (56018617000); Bernardi, Mariangela (7202274524); Huertas-Company, Marc (23050749700); Mei, Simona (7102846243); Ascaso, Begoña (16425494300); Sheth, Ravi (7006123018); Delaye, Lauriane (57205032967); Raichoor, Anand (37073369200)","55888485900; 56443848300; 8974845600; 55696384200; 55420477000; 56018617000; 7202274524; 23050749700; 7102846243; 16425494300; 7006123018; 57205032967; 37073369200","Avoiding progenitor bias: The structural and mass evolution of brightest group and cluster galaxies in hierarchical models since z ≲ 1","2015","Astrophysical Journal","802","2","73","","","","59","10.1088/0004-637X/802/2/73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926613751&doi=10.1088%2f0004-637X%2f802%2f2%2f73&partnerID=40&md5=f485c9add4cc01e71efb30c86757facc","2-s2.0-84926613751"
"Salumbides E.J.; Bagdonaite J.; Abgrall H.; Roueff E.; Ubachs W.","Salumbides, E.J. (9640106900); Bagdonaite, J. (54895523700); Abgrall, H. (6602571948); Roueff, E. (7004034495); Ubachs, W. (7006105679)","9640106900; 54895523700; 6602571948; 7004034495; 7006105679","H2 Lyman and Werner band lines and their sensitivity for a variation of the proton-electron mass ratio in the gravitational potential of white dwarfs","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1237","1245","8","9","10.1093/mnras/stv656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938099096&doi=10.1093%2fmnras%2fstv656&partnerID=40&md5=7649679a4894aa36ec31d6468df889f4","2-s2.0-84938099096"
"Coppejans R.; Cseh D.; Williams W.L.; van Velzen S.; Falcke H.","Coppejans, Rocco (55496132600); Cseh, David (36628189900); Williams, Wendy L. (55532159100); van Velzen, Sjoert (37035459700); Falcke, Heino (7006807059)","55496132600; 36628189900; 55532159100; 37035459700; 7006807059","Megahertz peaked-spectrum sources in the Boötes field I - A route towards finding high-redshift AGN","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1477","1485","8","38","10.1093/mnras/stv681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938099094&doi=10.1093%2fmnras%2fstv681&partnerID=40&md5=7c2278e2beff6616373fdf2badb48cab","2-s2.0-84938099094"
"Singh S.; Mandelbaum R.; More S.","Singh, Sukhdeep (57218165729); Mandelbaum, Rachel (7004175711); More, Surhud (16234186800)","57218165729; 7004175711; 16234186800","Intrinsic alignments of SDSS-III BOSS LOWZ sample galaxies","2015","Monthly Notices of the Royal Astronomical Society","450","2","","2195","2216","21","132","10.1093/mnras/stv778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938124813&doi=10.1093%2fmnras%2fstv778&partnerID=40&md5=1df9e7ebd69b2690ca596248b33844fe","2-s2.0-84938124813"
"Vincent A.C.; Martínez E.F.; Hernández P.; Mena O.; Lattanzi M.","Vincent, Aaron C. (24463837900); Martínez, Enrique Fernández (55601072500); Hernández, Pilar (7202206895); Mena, Olga (6602257282); Lattanzi, Massimiliano (27169527700)","24463837900; 55601072500; 7202206895; 6602257282; 27169527700","Revisiting cosmological bounds on sterile neutrinos","2015","Journal of Cosmology and Astroparticle Physics","2015","4","006","","","","49","10.1088/1475-7516/2015/04/006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928009373&doi=10.1088%2f1475-7516%2f2015%2f04%2f006&partnerID=40&md5=3d176eaa112b56858e8b826a3f1bd288","2-s2.0-84928009373"
"Balcerzak A.; Dabrowski M.P.; Denkiewicz T.; Polarski D.; Puy D.","Balcerzak, Adam (13409731300); Dabrowski, Mariusz P. (7102470685); Denkiewicz, Tomasz (16743921300); Polarski, David (7003792459); Puy, Denis (6604058615)","13409731300; 7102470685; 16743921300; 7003792459; 6604058615","Critical assessment of some inhomogeneous pressure Stephani models","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","91","8","083506","","","","14","10.1103/PhysRevD.91.083506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929192514&doi=10.1103%2fPhysRevD.91.083506&partnerID=40&md5=119e6f68e94e03f8c2a9ef8012e9e84a","2-s2.0-84929192514"
"Ade P.A.R.; Alves M.I.R.; Aniano G.; Armitage-Caplan C.; Arnaud M.; Atrio-Barandela F.; Aumont J.; Baccigalupi C.; Banday A.J.; Barreiro R.B.; Battaner E.; Benabed K.; Benoit-Lévy A.; Bernard J.-P.; Bersanelli M.; Bielewicz P.; Bock J.J.; Bond J.R.; Borrill J.; Bouchet F.R.; Boulanger F.; Burigana C.; Cardoso J.-F.; Catalano A.; Chamballu A.; Chiang H.C.; Colombo L.P.L.; Combet C.; Couchot F.; Coulais A.; Crill B.P.; Curto A.; Cuttaia F.; Danese L.; Davies R.D.; Davis R.J.; De Bernardis P.; De Zotti G.; Delabrouille J.; Désert F.-X.; Dickinson C.; Diego J.M.; Donzelli S.; Doré O.; Douspis M.; Dunkley J.; Dupac X.; Enßlin T.A.; Eriksen H.K.; Falgarone E.; Finelli F.; Forni O.; Frailis M.; Fraisse A.A.; Franceschi E.; Galeotta S.; Ganga K.; Ghosh T.; Giard M.; González-Nuevo J.; Górski K.M.; Gregorio A.; Gruppuso A.; Guillet V.; Hansen F.K.; Harrison D.L.; Helou G.; Hernández-Monteagudo C.; Hildebrandt S.R.; Hivon E.; Hobson M.; Holmes W.A.; Hornstrup A.; Jaffe A.H.; Jaffe T.R.; Jones W.C.; Keihänen E.; Keskitalo R.; Kisner T.S.; Kneissl R.; Knoche J.; Kunz M.; Kurki-Suonio H.; Lagache G.; Lamarre J.-M.; Lasenby A.; Lawrence C.R.; Leahy J.P.; Leonardi R.; Levrier F.; Liguori M.; Lilje P.B.; Linden-Vørnle M.; López-Caniego M.; Lubin P.M.; Macías-Pérez J.F.; Maffei B.; Magalhães A.M.; Maino D.; Mandolesi N.; Maris M.; Marshall D.J.; Martin P.G.; Martínez-González E.; Masi S.; Matarrese S.; Mazzotta P.; Melchiorri A.; Mendes L.; Mennella A.; Migliaccio M.; Miville-Deschênes M.-A.; Moneti A.; Montier L.; Morgante G.; Mortlock D.; Munshi D.; Murphy J.A.; Naselsky P.; Nati F.; Natoli P.; Netterfield C.B.; Noviello F.; Novikov D.; Novikov I.; Oppermann N.; Oxborrow C.A.; Pagano L.; Pajot F.; Paoletti D.; Pasian F.; Perdereau O.; Perotto L.; Perrotta F.; Piacentini F.; Pietrobon D.; Plaszczynski S.; Pointecouteau E.; Polenta G.; Popa L.; Pratt G.W.; Rachen J.P.; Reach W.T.; Reinecke M.; Remazeilles M.; Renault C.; Ricciardi S.; Riller T.; Ristorcelli I.; Rocha G.; Rosset C.; Roudier G.; Rubiño-Martín J.A.; Rusholme B.; Salerno E.; Sandri M.; Savini G.; Scott D.; Spencer L.D.; Stolyarov V.; Stompor R.; Sudiwala R.; Sutton D.; Suur-Uski A.-S.; Sygnet J.-F.; Tauber J.A.; Terenzi L.; Toffolatti L.; Tomasi M.; Tristram M.; Tucci M.; Valenziano L.; Valiviita J.; Van Tent B.; Vielva P.; Villa F.; Wandelt B.D.; Zacchei A.; Zonca A.","Ade, P.A.R. (7006368713); Alves, M.I.R. (57213857548); Aniano, G. (35184785200); Armitage-Caplan, C. (34167564500); Arnaud, M. (7101923199); Atrio-Barandela, F. (6701547091); Aumont, J. (57195496279); Baccigalupi, C. (57220414927); Banday, A.J. (7003524751); Barreiro, R.B. (7004240529); Battaner, E. (7003875704); Benabed, K. (35241723200); Benoit-Lévy, A. (36348152500); Bernard, J.-P. (35405956200); Bersanelli, M. (7004386449); Bielewicz, P. (6506576285); Bock, J.J. (57206301128); Bond, J.R. (55662855000); Borrill, J. (35748580800); Bouchet, F.R. (7007123513); Boulanger, F. (7006890666); Burigana, C. (6603819488); Cardoso, J.-F. (55587898400); Catalano, A. (26645983900); Chamballu, A. (36522448100); Chiang, H.C. (14832390700); Colombo, L.P.L. (7102464648); Combet, C. (55891579000); Couchot, F. (35352821900); Coulais, A. (6603218201); Crill, B.P. (35748506700); Curto, A. (57190702506); Cuttaia, F. (14630063300); Danese, L. (55152697700); Davies, R.D. (8542178200); Davis, R.J. (16452015600); De Bernardis, P. (7006520442); De Zotti, G. (55181000700); Delabrouille, J. (6603577641); Désert, F.-X. (6701766902); Dickinson, C. (7102025967); Diego, J.M. (7006314412); Donzelli, S. (14630380000); Doré, O. (6603614459); Douspis, M. (6701702242); Dunkley, J. (11140147500); Dupac, X. (6601991850); Enßlin, T.A. (7004428302); Eriksen, H.K. (7102697511); Falgarone, E. (7003349192); Finelli, F. (56239931500); Forni, O. (6603126232); Frailis, M. (6506341877); Fraisse, A.A. (16068355800); Franceschi, E. (56592156500); Galeotta, S. (14630273900); Ganga, K. (7004144883); Ghosh, T. (35268342900); Giard, M. (7005975383); González-Nuevo, J. (55885240100); Górski, K.M. (7006440372); Gregorio, A. (14630220200); Gruppuso, A. (14619247700); Guillet, V. (56328188900); Hansen, F.K. (7103011946); Harrison, D.L. (34969378600); Helou, G. (7006333437); Hernández-Monteagudo, C. (6603265387); Hildebrandt, S.R. (7005662100); Hivon, E. (6603829666); Hobson, M. (7005651121); Holmes, W.A. (7202555066); Hornstrup, A. (6603380199); Jaffe, A.H. (35415116200); Jaffe, T.R. (9532899000); Jones, W.C. (35310368800); Keihänen, E. (55885669700); Keskitalo, R. (22979949700); Kisner, T.S. (6506052811); Kneissl, R. (6603072047); Knoche, J. (35322408800); Kunz, M. (7102120605); Kurki-Suonio, H. (6603602446); Lagache, G. (7102326162); Lamarre, J.-M. (57202572509); Lasenby, A. (7005763897); Lawrence, C.R. (7402265625); Leahy, J.P. (57213898398); Leonardi, R. (11838935200); Levrier, F. (56087837500); Liguori, M. (8679650300); Lilje, P.B. (6603770482); Linden-Vørnle, M. (57202568003); López-Caniego, M. (8559894400); Lubin, P.M. (7004243122); Macías-Pérez, J.F. (6508080858); Maffei, B. (57203030736); Magalhães, A.M. (35502079700); Maino, D. (14058603600); Mandolesi, N. (8627117200); Maris, M. (14008873300); Marshall, D.J. (56878233900); Martin, P.G. (26326972300); Martínez-González, E. (7004636767); Masi, S. (7005287842); Matarrese, S. (57200572851); Mazzotta, P. (7003676590); Melchiorri, A. (56253777700); Mendes, L. (35422800600); Mennella, A. (6603802603); Migliaccio, M. (35092838400); Miville-Deschênes, M.-A. (6603678039); Moneti, A. (36523417000); Montier, L. (55975147200); Morgante, G. (35422761600); Mortlock, D. (7004828613); Munshi, D. (35318355900); Murphy, J.A. (55587645400); Naselsky, P. (57220376307); Nati, F. (9939586500); Natoli, P. (9272122900); Netterfield, C.B. (6603689596); Noviello, F. (26631986800); Novikov, D. (35303167200); Novikov, I. (55587410900); Oppermann, N. (37662106900); Oxborrow, C.A. (6507023970); Pagano, L. (57199651650); Pajot, F. (7004747421); Paoletti, D. (26642108200); Pasian, F. (55913343900); Perdereau, O. (6701856772); Perotto, L. (36523711700); Perrotta, F. (56206912900); Piacentini, F. (56265310700); Pietrobon, D. (23135933100); Plaszczynski, S. (8791932400); Pointecouteau, E. (6603425237); Polenta, G. (6602930238); Popa, L. (7006538931); Pratt, G.W. (7102505441); Rachen, J.P. (6603018265); Reach, W.T. (7006392485); Reinecke, M. (36523570600); Remazeilles, M. (26326551300); Renault, C. (7003744325); Ricciardi, S. (55871122518); Riller, T. (36523848000); Ristorcelli, I. (6701750764); Rocha, G. (36523904700); Rosset, C. (6603484205); Roudier, G. (54790196200); Rubiño-Martín, J.A. (6701722727); Rusholme, B. (6603044987); Salerno, E. (7004820060); Sandri, M. (35410388500); Savini, G. (15844178300); Scott, D. (7404952697); Spencer, L.D. (57220518170); Stolyarov, V. (7005641598); Stompor, R. (7004294216); Sudiwala, R. (35414646000); Sutton, D. (56442086800); Suur-Uski, A.-S. (54790207500); Sygnet, J.-F. (36192213900); Tauber, J.A. (7006585484); Terenzi, L. (6506672124); Toffolatti, L. (6701833324); Tomasi, M. (35410597600); Tristram, M. (7801560160); Tucci, M. (58483607200); Valenziano, L. (6602565951); Valiviita, J. (6506892358); Van Tent, B. (10639444300); Vielva, P. (6603658512); Villa, F. (55398967000); Wandelt, B.D. (7004256499); Zacchei, A. (56273947300); Zonca, A. (16302735200)","7006368713; 57213857548; 35184785200; 34167564500; 7101923199; 6701547091; 57195496279; 57220414927; 7003524751; 7004240529; 7003875704; 35241723200; 36348152500; 35405956200; 7004386449; 6506576285; 57206301128; 55662855000; 35748580800; 7007123513; 7006890666; 6603819488; 55587898400; 26645983900; 36522448100; 14832390700; 7102464648; 55891579000; 35352821900; 6603218201; 35748506700; 57190702506; 14630063300; 55152697700; 8542178200; 16452015600; 7006520442; 55181000700; 6603577641; 6701766902; 7102025967; 7006314412; 14630380000; 6603614459; 6701702242; 11140147500; 6601991850; 7004428302; 7102697511; 7003349192; 56239931500; 6603126232; 6506341877; 16068355800; 56592156500; 14630273900; 7004144883; 35268342900; 7005975383; 55885240100; 7006440372; 14630220200; 14619247700; 56328188900; 7103011946; 34969378600; 7006333437; 6603265387; 7005662100; 6603829666; 7005651121; 7202555066; 6603380199; 35415116200; 9532899000; 35310368800; 55885669700; 22979949700; 6506052811; 6603072047; 35322408800; 7102120605; 6603602446; 7102326162; 57202572509; 7005763897; 7402265625; 57213898398; 11838935200; 56087837500; 8679650300; 6603770482; 57202568003; 8559894400; 7004243122; 6508080858; 57203030736; 35502079700; 14058603600; 8627117200; 14008873300; 56878233900; 26326972300; 7004636767; 7005287842; 57200572851; 7003676590; 56253777700; 35422800600; 6603802603; 35092838400; 6603678039; 36523417000; 55975147200; 35422761600; 7004828613; 35318355900; 55587645400; 57220376307; 9939586500; 9272122900; 6603689596; 26631986800; 35303167200; 55587410900; 37662106900; 6507023970; 57199651650; 7004747421; 26642108200; 55913343900; 6701856772; 36523711700; 56206912900; 56265310700; 23135933100; 8791932400; 6603425237; 6602930238; 7006538931; 7102505441; 6603018265; 7006392485; 36523570600; 26326551300; 7003744325; 55871122518; 36523848000; 6701750764; 36523904700; 6603484205; 54790196200; 6701722727; 6603044987; 7004820060; 35410388500; 15844178300; 7404952697; 57220518170; 7005641598; 7004294216; 35414646000; 56442086800; 54790207500; 36192213900; 7006585484; 6506672124; 6701833324; 35410597600; 7801560160; 58483607200; 6602565951; 6506892358; 10639444300; 6603658512; 55398967000; 7004256499; 56273947300; 16302735200","Planck intermediate results. XXII. Frequency dependence of thermal emission fromGalactic dust in intensity and polarization","2015","Astronomy and Astrophysics","576","","A107","","","","56","10.1051/0004-6361/201424088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927737321&doi=10.1051%2f0004-6361%2f201424088&partnerID=40&md5=ad7f603796364e4f1c39201fafb9a234","2-s2.0-84927737321"
"Crain R.A.; Schaye J.; Bower R.G.; Furlong M.; Schaller M.; Theuns T.; Vecchia C.D.; Frenk C.S.; McCarthy I.G.; Helly J.C.; Jenkins A.; Rosas-Guevara Y.M.; White S.D.M.; Trayford J.W.","Crain, Robert A. (16300736600); Schaye, Joop (6701410946); Bower, Richard G. (7102858285); Furlong, Michelle (56544168700); Schaller, Matthieu (56285525900); Theuns, Tom (7004618443); Vecchia, Claudio Dalla (35742248600); Frenk, Carlos S. (57203255083); McCarthy, Ian G. (7004965560); Helly, John C. (6602150273); Jenkins, Adrian (7202458246); Rosas-Guevara, Yetli M. (21739853200); White, Simon D.M. (16199171600); Trayford, James W. (56544562100)","16300736600; 6701410946; 7102858285; 56544168700; 56285525900; 7004618443; 35742248600; 57203255083; 7004965560; 6602150273; 7202458246; 21739853200; 16199171600; 56544562100","The EAGLE simulations of galaxy formation: Calibration of subgrid physics and model variations","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1937","1961","24","953","10.1093/mnras/stv725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930964373&doi=10.1093%2fmnras%2fstv725&partnerID=40&md5=66ee748a9e51722f27edc4eda2f4d1fc","2-s2.0-84930964373"
"Correa C.A.; Wyithe J.S.B.; Schaye J.; Duffy A.R.","Correa, Camila A. (56740285100); Wyithe, J. Stuart B. (7004511239); Schaye, Joop (6701410946); Duffy, Alan R. (23093585900)","56740285100; 7004511239; 6701410946; 23093585900","The accretion history of dark matter haloes - II. The connections with the mass power spectrum and the density profile","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1521","1537","16","85","10.1093/mnras/stv697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938149117&doi=10.1093%2fmnras%2fstv697&partnerID=40&md5=8ab36522c18ab8f75e43b49f0924d3c6","2-s2.0-84938149117"
"Hong S.; Dey A.","Hong, Sungryong (55912439700); Dey, Arjun (7101701707)","55912439700; 7101701707","Network analysis of cosmic structures: Network centrality and topological environment","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1999","2015","16","11","10.1093/mnras/stv722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938149111&doi=10.1093%2fmnras%2fstv722&partnerID=40&md5=734046d1dc7b28d2ac8c97021bfc7d64","2-s2.0-84938149111"
