"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","EID"
"Croton D.J.; Springel V.; White S.D.M.; De Lucia G.; Frenk C.S.; Gao L.; Jenkins A.; Kauffmann G.; Navarro J.F.; Yoshida N.","Croton, Darren J. (6506894822); Springel, Volker (7003307156); White, Simon D.M. (16199171600); De Lucia, G. (6602521535); Frenk, C.S. (57203255083); Gao, L. (55738487300); Jenkins, A. (7202458246); Kauffmann, G. (7102618762); Navarro, J.F. (7402580058); Yoshida, N. (7403004787)","6506894822; 7003307156; 16199171600; 6602521535; 57203255083; 55738487300; 7202458246; 7102618762; 7402580058; 7403004787","The many lives of active galactic nuclei: Cooling flows, black holes and the luminosities and colours of galaxies","2006","2929","10.1111/j.1365-2966.2005.09675.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644761468&doi=10.1111%2fj.1365-2966.2005.09675.x&partnerID=40&md5=b309b778804a124395f786f4a9f879d1","2-s2.0-33644761468"
"Georgescu I.M.; Ashhab S.; Nori F.","Georgescu, I.M. (57523273800); Ashhab, S. (14017601400); Nori, Franco (7005721141)","57523273800; 14017601400; 7005721141","Quantum simulation","2014","1631","10.1103/RevModPhys.86.153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897095980&doi=10.1103%2fRevModPhys.86.153&partnerID=40&md5=dc5b86af2ea71b8d32f8c2e85a869094","2-s2.0-84897095980"
"Barthelmy S.D.; Barbier L.M.; Cummings J.R.; Fenimore E.E.; Gehrels N.; Hullinger D.; Krimm H.A.; Markwardt C.B.; Palmer D.M.; Parsons A.; Sato G.; Suzuki M.; Takahashi T.; Tashiro M.; Tueller J.","Barthelmy, Scott D. (7004253793); Barbier, Louis M. (7004787437); Cummings, Jay R. (7402590967); Fenimore, Ed E. (7005253057); Gehrels, Neil (35353135800); Hullinger, Derek (6603380249); Krimm, Hans A. (8355187400); Markwardt, Craig B. (7004101472); Palmer, David M. (7402254309); Parsons, Ann (55977069700); Sato, Goro (7103403545); Suzuki, Masaya (55709890200); Takahashi, Tadayuki (56266921200); Tashiro, Makota (7201482377); Tueller, Jack (7003548150)","7004253793; 7004787437; 7402590967; 7005253057; 35353135800; 6603380249; 8355187400; 7004101472; 7402254309; 55977069700; 7103403545; 55709890200; 56266921200; 7201482377; 7003548150","The burst alert telescope (BAT) on the SWIFT midex mission","2005","1402","10.1007/s11214-005-5096-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29344432604&doi=10.1007%2fs11214-005-5096-3&partnerID=40&md5=6502f6a9d8fcc0390a692e0fe8110abc","2-s2.0-29344432604"
"Preskill J.; Wise M.B.; Wilczek F.","Preskill, John (6701594380); Wise, Mark B. (7202820840); Wilczek, Frank (7004411418)","6701594380; 7202820840; 7004411418","Cosmology of the invisible axion","1983","2082","10.1016/0370-2693(83)90637-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008416057&doi=10.1016%2f0370-2693%2883%2990637-8&partnerID=40&md5=233ff2e70170afc165689767adde084a","2-s2.0-0008416057"
"Elbaz D.; Daddi E.; Le Borgne D.; Dickinson M.; Alexander D.M.; Chary R.-R.; Starck J.-L.; Brandt W.N.; Kitzbichler M.; MacDonald E.; Nonino M.; Popesso P.; Stern D.; Vanzella E.","Elbaz, D. (7004027767); Daddi, E. (6603916088); Le Borgne, D. (6602776924); Dickinson, M. (35419102600); Alexander, D.M. (7402830539); Chary, R.-R. (6603916158); Starck, J.-L. (7005106453); Brandt, W.N. (35247682800); Kitzbichler, M. (57204369807); MacDonald, E. (7102140715); Nonino, M. (55174651100); Popesso, P. (55938137300); Stern, D. (7202386545); Vanzella, E. (55948046500)","7004027767; 6603916088; 6602776924; 35419102600; 7402830539; 6603916158; 7005106453; 35247682800; 57204369807; 7102140715; 55174651100; 55938137300; 7202386545; 55948046500","The reversal of the star formation-density relation in the distant universe","2007","1244","10.1051/0004-6361:20077525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250211491&doi=10.1051%2f0004-6361%3a20077525&partnerID=40&md5=551f6865ba4286c1f413e75af61d6478","2-s2.0-34250211491"
"Sheth R.K.; Mo H.J.; Tormen G.","Sheth, Ravi K. (7006123018); Mo, H.J. (57207906801); Tormen, Giuseppe (7004374474)","7006123018; 57207906801; 7004374474","Ellipsoidal collapse and an improved model for the number and spatial distribution of dark matter haloes","2001","1301","10.1046/j.1365-8711.2001.04006.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004845279&doi=10.1046%2fj.1365-8711.2001.04006.x&partnerID=40&md5=110e49edcc80baeb44e2e1a915b226d5","2-s2.0-0004845279"
"Lewis A.; Challinor A.; Lasenby A.","Lewis, Antony (7403488218); Challinor, Anthony (7003681352); Lasenby, Anthony (7005763897)","7403488218; 7003681352; 7005763897","Efficient computation of cosmic microwave background anisotropies in closed Friedmann-Robertson-Walker models","2000","3637","10.1086/309179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034239591&doi=10.1086%2f309179&partnerID=40&md5=50172b1d2bb9fb40de20932a11eb064a","2-s2.0-0034239591"
"Schaye J.; Crain R.A.; Bower R.G.; Furlong M.; Schaller M.; Theuns T.; Dalla Vecchia C.; Frenk C.S.; Mccarthy I.G.; Helly J.C.; Jenkins A.; Rosas-Guevara Y.M.; White S.D.M.; Baes M.; Booth C.M.; Camps P.; Navarro J.F.; Qu Y.; Rahmati A.; Sawala T.; Thomas P.A.; Trayford J.","Schaye, Joop (6701410946); Crain, Robert A. (16300736600); Bower, Richard G. (7102858285); Furlong, Michelle (56544168700); Schaller, Matthieu (56285525900); Theuns, Tom (7004618443); Dalla Vecchia, Claudio (35742248600); Frenk, Carlos S. (57203255083); Mccarthy, I.G. (7004965560); Helly, John C. (6602150273); Jenkins, Adrian (7202458246); Rosas-Guevara, Y.M. (21739853200); White, Simon D. M. (16199171600); Baes, Maarten (56261663500); Booth, C.M. (55434412300); Camps, Peter (55582261100); Navarro, Julio F. (7402580058); Qu, Yan (36089301500); Rahmati, Alireza (25228024100); Sawala, Till (28167924900); Thomas, Peter A. (57203053201); Trayford, James (56544562100)","6701410946; 16300736600; 7102858285; 56544168700; 56285525900; 7004618443; 35742248600; 57203255083; 7004965560; 6602150273; 7202458246; 21739853200; 16199171600; 56261663500; 55434412300; 55582261100; 7402580058; 36089301500; 25228024100; 28167924900; 57203053201; 56544562100","The EAGLE project: Simulating the evolution and assembly of galaxies and their environments","2015","2308","10.1093/mnras/stu2058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924524233&doi=10.1093%2fmnras%2fstu2058&partnerID=40&md5=17693766e3d3b39522ff78b992d90fa5","2-s2.0-84924524233"
"Khoury J.; Ovrut B.A.; Steinhardt P.J.; Turok N.","Khoury, Justin (7102826585); Ovrut, Burt A. (7004494548); Steinhardt, Paul J. (7006680558); Turok, Neil (7006408855)","7102826585; 7004494548; 7006680558; 7006408855","Ekpyrotic universe: Colliding branes and the origin of the hot big bang","2001","1198","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038278781&partnerID=40&md5=8bc10900d38016d959caaaf670117367","2-s2.0-85038278781"
"Spergel D.N.; Verde L.; Peiris H.V.; Komatsu E.; Nolta M.R.; Bennett C.L.; Halpern M.; Hinshaw G.; Jarosik N.; Kogut A.; Limon M.; Meyer S.S.; Page L.; Tucker G.S.; Weiland J.L.; Wollack E.; Wright E.L.","Spergel, D.N. (7007108870); Verde, L. (7003944328); Peiris, H.V. (23991274600); Komatsu, E. (7003611230); Nolta, M.R. (6602398036); Bennett, C.L. (57206919239); Halpern, M. (7201463120); Hinshaw, G. (57204302092); Jarosik, N. (6701768310); Kogut, A. (24833209700); Limon, M. (57194133671); Meyer, S.S. (7402775091); Page, L. (55533003000); Tucker, G.S. (7202603773); Weiland, J.L. (36858905700); Wollack, E. (35546436100); Wright, E.L. (57203176050)","7007108870; 7003944328; 23991274600; 7003611230; 6602398036; 57206919239; 7201463120; 57204302092; 6701768310; 24833209700; 57194133671; 7402775091; 55533003000; 7202603773; 36858905700; 35546436100; 57203176050","First-year Wilkinson Microwave Anisotropy Probe (WMAP) observations: Determination of cosmological parameters","2003","9006","10.1086/377226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17044381941&doi=10.1086%2f377226&partnerID=40&md5=23181b22f7213a612ccf95bd39c02331","2-s2.0-17044381941"
